iter	RMSE
0	23.29597266
1	22.30718914
2	21.35026431
3	20.46620893
4	19.61950481
5	18.84377305
6	18.10946556
7	17.43909737
8	16.81112775
9	16.1865486
10	15.63244222
11	15.13626554
12	14.660567
13	14.25001256
14	13.8334093
15	13.45716888
16	13.09064526
17	12.77821905
18	12.45494485
19	12.17561628
20	11.89744082
21	11.65905834
22	11.42478661
23	11.22033268
24	11.03688594
25	10.85242696
26	10.6941067
27	10.54825319
28	10.39089928
29	10.25499129
30	10.11852515
31	9.988901758
32	9.865705268
33	9.758838903
34	9.678540532
35	9.570295743
36	9.4789473
37	9.383967778
38	9.289936523
39	9.217350237
40	9.137207955
41	9.074270494
42	9.002965544
43	8.945565829
44	8.889600558
45	8.846959022
46	8.795451679
47	8.743077625
48	8.694011769
49	8.655016385
50	8.616624035
51	8.577437687
52	8.544227025
53	8.514455809
54	8.489667336
55	8.463972875
56	8.430974567
57	8.404416988
58	8.379961579
59	8.345314234
60	8.314359204
61	8.281548161
62	8.256892688
63	8.236724755
64	8.200276533
65	8.171219879
66	8.144858303
67	8.121766527
68	8.102780429
69	8.086467803
70	8.074804733
71	8.049679145
72	8.033566617
73	8.020520296
74	8.006088611
75	7.988409279
76	7.969535185
77	7.953522579
78	7.935560013
79	7.915971237
80	7.903721986
81	7.888571637
82	7.873615491
83	7.849964979
84	7.834316105
85	7.820319264
86	7.805343134
87	7.796256445
88	7.779144222
89	7.760703039
90	7.749316052
91	7.74239276
92	7.727075658
93	7.71587453
94	7.703988281
95	7.684652518
96	7.675384446
97	7.652358316
98	7.642855981
99	7.63244112
100	7.623067779
101	7.617982035
102	7.609077683
103	7.596612742
104	7.587448834
105	7.573771779
106	7.557676982
107	7.541713286
108	7.53243127
109	7.516711674
110	7.502680421
111	7.487843575
112	7.477604324
113	7.464373245
114	7.457188431
115	7.443308373
116	7.433468015
117	7.427141641
118	7.416268698
119	7.410997606
120	7.401313698
121	7.395768166
122	7.386087966
123	7.377904972
124	7.367721667
125	7.363234241
126	7.355116964
127	7.342880306
128	7.331823285
129	7.327164746
130	7.313920196
131	7.308958874
132	7.296214285
133	7.288075521
134	7.278710016
135	7.272073227
136	7.254100629
137	7.240426961
138	7.231176481
139	7.217469801
140	7.212542754
141	7.194241867
142	7.189347784
143	7.184721606
144	7.175738454
145	7.171767194
146	7.16387127
147	7.156003576
148	7.144887285
149	7.139793781
150	7.131184902
151	7.122682488
152	7.11615685
153	7.108049313
154	7.100985824
155	7.094482652
156	7.08661285
157	7.078442685
158	7.067727043
159	7.063715264
160	7.051994983
161	7.0462516
162	7.03443278
163	7.02691378
164	7.019385269
165	7.005410349
166	7.00130775
167	6.995945681
168	6.99160994
169	6.983289101
170	6.971396395
171	6.959029902
172	6.949402062
173	6.942242634
174	6.928952165
175	6.922291274
176	6.915742034
177	6.907030938
178	6.899565029
179	6.891520549
180	6.881840093
181	6.877343348
182	6.868368852
183	6.863134373
184	6.85838139
185	6.850843944
186	6.845263532
187	6.840326192
188	6.832745012
189	6.823615999
190	6.818332246
191	6.813339483
192	6.80813231
193	6.803171326
194	6.793994235
195	6.779708176
196	6.772963343
197	6.763523878
198	6.757656458
199	6.752340389
200	6.747543898
201	6.741871764
202	6.735713908
203	6.729318804
204	6.723996204
205	6.717877289
206	6.713056432
207	6.700872993
208	6.694087323
209	6.687968248
210	6.67990476
211	6.672147986
212	6.663749596
213	6.661150123
214	6.654970288
215	6.649676931
216	6.645967554
217	6.641678736
218	6.63696716
219	6.631281529
220	6.620709993
221	6.615699042
222	6.611272799
223	6.600263085
224	6.596273878
225	6.590347544
226	6.584422769
227	6.578586592
228	6.573282588
229	6.56906383
230	6.562832335
231	6.556034245
232	6.553055183
233	6.548168848
234	6.544675213
235	6.536059248
236	6.530877618
237	6.522960306
238	6.511587889
239	6.504514296
240	6.496441662
241	6.492401378
242	6.487251371
243	6.478120767
244	6.472726764
245	6.46883948
246	6.463213754
247	6.457064196
248	6.450381298
249	6.445538238
250	6.437728755
251	6.43117686
252	6.426867482
253	6.42009164
254	6.412718221
255	6.408075123
256	6.40531972
257	6.390268643
258	6.387203676
259	6.380558187
260	6.373801252
261	6.366363775
262	6.360766262
263	6.355220699
264	6.349120801
265	6.344980055
266	6.341192667
267	6.336115423
268	6.328329741
269	6.323503486
270	6.318846297
271	6.313669258
272	6.308702022
273	6.30206
274	6.295130101
275	6.287786854
276	6.281672912
277	6.274853163
278	6.267912587
279	6.263299131
280	6.258570581
281	6.254272172
282	6.249614459
283	6.245195048
284	6.24048147
285	6.236790832
286	6.233655953
287	6.228871903
288	6.225321867
289	6.222311079
290	6.216931739
291	6.213557209
292	6.206289823
293	6.201273301
294	6.197467857
295	6.19310052
296	6.189756999
297	6.183387092
298	6.17746483
299	6.17214243
300	6.17000489
301	6.163850258
302	6.159417117
303	6.15417671
304	6.146960935
305	6.143490087
306	6.137869495
307	6.13561058
308	6.133412095
309	6.130722746
310	6.12753252
311	6.121089386
312	6.116218168
313	6.111630873
314	6.106886811
315	6.100603844
316	6.094988934
317	6.09205605
318	6.087481036
319	6.081584372
320	6.074784871
321	6.069615026
322	6.064663828
323	6.060118027
324	6.056663807
325	6.052692707
326	6.047492053
327	6.042532171
328	6.040752724
329	6.038878583
330	6.031292361
331	6.024382057
332	6.022665379
333	6.02068776
334	6.018830645
335	6.01373877
336	6.009707986
337	6.00479567
338	6.000016446
339	5.996414732
340	5.993558845
341	5.988054107
342	5.983958227
343	5.979623893
344	5.971164668
345	5.96618725
346	5.962660146
347	5.956568079
348	5.950927345
349	5.947645162
