iter	Passed	Remaining
0	7	7455
1	12	6398
2	17	5915
3	24	6120
4	29	5844
5	34	5660
6	40	5810
7	45	5700
8	50	5598
9	57	5695
10	62	5586
11	66	5510
12	74	5646
13	79	5583
14	85	5642
15	90	5578
16	95	5515
17	101	5550
18	108	5576
19	113	5560
20	126	5913
21	137	6123
22	148	6308
23	158	6444
24	171	6704
25	180	6777
26	193	6964
27	205	7118
28	214	7178
29	225	7303
30	241	7536
31	256	7750
32	268	7857
33	279	7936
34	291	8036
35	303	8120
36	311	8116
37	324	8218
38	337	8327
39	350	8400
40	360	8434
41	373	8512
42	384	8548
43	398	8654
44	408	8666
45	422	8757
46	438	8892
47	451	8958
48	459	8917
49	468	8892
50	477	8887
51	486	8877
52	504	9006
53	534	9361
54	548	9415
55	557	9390
56	569	9423
57	582	9458
58	593	9461
59	616	9658
60	629	9689
61	639	9667
62	651	9684
63	665	9739
64	681	9806
65	692	9800
66	704	9817
67	716	9820
68	727	9820
69	737	9793
70	749	9808
71	763	9840
72	778	9892
73	787	9857
74	798	9848
75	808	9835
76	820	9830
77	832	9837
78	843	9829
79	851	9796
80	867	9838
81	880	9852
82	886	9795
83	894	9754
84	900	9689
85	928	9871
86	939	9858
87	999	10358
88	1009	10332
89	1018	10299
90	1028	10276
91	1040	10269
92	1061	10357
93	1067	10290
94	1078	10275
95	1090	10264
96	1098	10223
97	1108	10201
98	1112	10127
99	1116	10046
100	1122	9987
101	1125	9912
102	1135	9891
103	1140	9828
104	1146	9768
105	1152	9724
106	1159	9674
107	1164	9621
108	1172	9586
109	1178	9535
110	1184	9488
111	1191	9449
112	1197	9397
113	1203	9356
114	1209	9311
115	1216	9272
116	1222	9228
117	1227	9174
118	1233	9132
119	1238	9080
120	1242	9028
121	1248	8988
122	1253	8939
123	1258	8891
124	1265	8855
125	1269	8808
126	1274	8763
127	1281	8729
128	1286	8687
129	1291	8642
130	1298	8610
131	1302	8566
132	1307	8525
133	1314	8493
134	1318	8450
135	1324	8415
136	1331	8384
137	1335	8343
138	1340	8303
139	1347	8274
140	1352	8240
141	1357	8202
142	1364	8175
143	1368	8134
144	1373	8096
145	1379	8068
146	1383	8030
147	1388	7994
148	1394	7966
149	1399	7932
150	1404	7896
151	1410	7870
152	1415	7837
